Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,Are you currently employed?,What is the size of your current employer?,"Do you own and use a smartphone, such as Apple iPhone, Samsung Galaxie, Google phone, etc?","Overall, I am satisfied working in the organization I'm in.",This organization is a better place to work than other organizations that I've had experience with,Functions of my job that once engaged me no longer do so,I am satisfied on the professional path I am on,I perceive co-workers to be more fulfilled in their jobs than I am.,I feel depressed while at work,"If you identify as strongly agree or agree to question 9, is your depression due to factors in your personal life, professional life, or both.",I am likely to search for new opportunities of employement,"If Strongly Agree or Agree to the question above, what is your general timeline when thinking about your job search?",My time at work brings me personal satisfaction,I go above and beyond what is expected of me at work,I utilize my time at work efficiently,At times I feel fatigued and drowsy at work,"If you answered always, sometimes, or rarely to the question above, would you attribute your fatigue to any or all of the following:",At times I feel lonely,"If you answered always, sometimes, or rarely to the question above, please think about your experience with social media and click all that apply: ",X29,X30,X31,X32,X33,I find it difficult to concentrate on tasks for sustained amounts of time,I complete my tasks on time,"Compared to my peers, I feel I am less efficient at work",I receive positive feedback on the quality of my work,I feel motivated to do my job to the best of my ability,I think others have a better life than me,I feel I have depressive tendencies,"I suffer from poor sleep - either too much, too little, or irregular sleeping patterns","On a scale of 1 - 5, please rate your level of stress","If High Stress or Extremely High Stress, select all of the following symptoms that you experience",X44,X45,X46,X47,X48,X49,X50,X51,X52,I feel lonely,"On average, how many cumulative hours per day do you spend on your mobile device?",Social Media usage makes me feel less lonely,"People check their phones multiple times a day. During your 8 hour workday, please estimate the total time spent on your mobile device on tasks unrelated to work?","Apart from sleep, please estimate in total the number of hours you consciously choose NOT to use your smartphone. For example, personal care time, exercise, prayer/meditation, at work, cooking/eating, etc",I feel a constant need to check my smartphone,I want to limit my smartphone usage,"In general, how much do you feel your smartphone is a distraction while you are trying to concentrate?",My day-to-day smartphone usage enhances the quality of my life,When thinking about days off work (not related to vacation or the care of others) please estimate the number of days missed due to your health and wellness issues?,What is your gender?,What is the highest level of school you have completed or the highest degree you have received?,"In what year were you born? (enter 4-digit birth year; for example, 1976)",About how long have you been in your current position?,X67,Age,Gender,Household Income,Region,Device Type,Org_satisfaction,Better_org,still_engaged,professional_path_sat,coworkers_happier,Depressed_while_at_work,searching_new_employment,personal_satisfaction,go_above,use_time_efficient,fatigued,lonely,difficult_to_concentrate,efficiency_compared_to_peers,positive_feedback,motivated,other_better_lives,depressive_tendencies,bad_sleep,social_media_makes_lonely,feel_constant_need_to_look_at_phone,is_phone_distracting,phone_better_life,phone_at_work_time,stress_level,mobile_per_day,consciously_no_phone,house_income_midpoint
NA,NA,NA,NA,NA,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Social media and texting help me feel more connected and less lonely,Social media and texting make me feel as if I am disconnected from others around me resulting in a feeling of loneliness.,Sometimes both,Never,Don't know / Doesn't apply,Other - please specify,Response,Response,Response,Response,Response,Response,Response,Response,Response,Headache,Nausea,Backache,Loss of sleep,Feelings of anxiety,Stomache Issues,Changes in appetite,Lack of focus,Other,Don't know / Not sure,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Years,Months,Response,Response,Response,Response,Response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10789970713,237187931,06/11/2019 07:42:55 AM,06/11/2019 07:44:41 AM,3b5c7744e88d21b0e9c8f040e6,Yes,100-500,Yes,Strongly agree,Agree,Agree,Agree,Agree,Agree,Work Life,Agree,Considering 6 months or beyond,Agree,Agree,Agree,Never,Health,NA,NA,NA,NA,NA,NA,NA,Disagree,NA,Strongly disagree,Disagree,Agree,Agree,Rarely,Rarely,NA,NA,NA,NA,NA,NA,NA,Changes in appetite,NA,NA,NA,Sometimes,1-2 Hours,Agree,2-3 Hours,2-3 Hours,NA,No - the amount of time I spend on my smartphone is appropriate,Sometimes,Agree,3-5,Male,Some college but no degree,1977,5,2,30-44,Male,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,5,4,4,4,4,4,4,4,4,4,1,3,2,1,2,4,4,2,2,4,NA,3,4,2,NA,1,2,62500
10789969591,237187931,06/11/2019 07:42:34 AM,06/11/2019 07:46:39 AM,32af4a4a1cb9dfb717514b8dee,Yes,Don't know,Yes,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Does not apply,Agree,Do not know,Neither agree nor disagree,Agree,Strongly agree,Sometimes,Stress,Always,NA,NA,Sometimes both,Never,NA,NA,Strongly disagree,Always,Disagree,Strongly agree,Strongly agree,Agree,Always,Always,High Stress,Headache,NA,NA,Loss of sleep,Feelings of anxiety,NA,Changes in appetite,NA,NA,NA,Always,1-2 Hours,Neither agree nor disagree,0-1 Hour,5 + Hours,Strongly disagree,No - the amount of time I spend on my smartphone is appropriate,Never,Agree,3-5,Female,Bachelor degree,1987,3,0,30-44,Male,"$50,000-$74,999",Middle Atlantic,Windows Desktop / Laptop,3,4,4,3,3,3,4,3,4,5,3,4,1,2,5,5,4,4,4,3,1,1,4,0,3,1,5,62500
10789967474,237187931,06/11/2019 07:41:37 AM,06/11/2019 07:44:54 AM,3cdd05dc1c590283fb6bc1e942,Yes,5000 +,Yes,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Both,Strongly agree,Considering within next 6 months,Agree,Agree,Agree,Sometimes,Lack of body movement while at work,Sometimes,NA,NA,Sometimes both,NA,NA,NA,Strongly agree,Always,Agree,Agree,Agree,Disagree,Always,Sometimes,Unsure / Do Not Know,NA,NA,Backache,Loss of sleep,Feelings of anxiety,NA,Changes in appetite,Lack of focus,NA,NA,Sometimes,2-3 Hours,Strongly disagree,2-3 Hours,3-4 Hours,Disagree,Yes - I use it too much,Sometimes,Agree,1-3,Male,Bachelor degree,1989,1,7,18-29,Male,"$100,000-$124,999",South Atlantic,Windows Desktop / Laptop,4,5,5,4,4,5,5,4,4,4,3,3,5,4,4,4,2,4,3,1,2,3,4,2,NA,2,3,112500
10789964676,237187931,06/11/2019 07:40:08 AM,06/11/2019 07:47:57 AM,12ba0b74f8442f6a09a45e1bea,Yes,Don't know,Yes,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,NA,Strongly disagree,NA,Neither agree nor disagree,Strongly agree,Strongly agree,Rarely,Sleep,Does not apply,NA,NA,NA,NA,NA,NA,Strongly disagree,Always,Strongly disagree,Strongly agree,Strongly agree,Disagree,Never,Rarely,Little Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,0-1 Hour,Neither agree nor disagree,0-1 Hour,0-1 Hour,Strongly disagree,No - the amount of time I spend on my smartphone is appropriate,Never,Agree,0,Male,Associate degree,1975,0,8,30-44,Male,Prefer not to answer,Middle Atlantic,iOS Phone / Tablet,5,4,3,4,2,1,1,3,5,5,2,1,1,1,5,5,2,1,2,3,1,1,4,0,1,0,0,NA
10789950211,237187931,06/11/2019 07:31:54 AM,06/11/2019 07:41:18 AM,d311563b786ff4486b43a46283,Yes,100-500,Yes,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Does not apply,Agree,Considering 6 months or beyond,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Overuse of technology,Never,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Agree,Always,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Never,Never,Little Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,1-2 Hours,Neither agree nor disagree,1-2 Hours,5 + Hours,Disagree,No - the amount of time I spend on my smartphone is appropriate,Sometimes,Neither agree nor disagree,0,Male,Graduate degree,1985,1,0,30-44,Male,"$200,000+",East South Central,Windows Desktop / Laptop,5,5,3,4,3,2,4,3,3,3,2,1,4,2,5,5,3,1,1,3,2,3,3,1,1,1,5,200000
10789942046,237187931,06/11/2019 07:30:55 AM,06/11/2019 07:35:59 AM,0ebe8f4d2230ae9eeb3e739223,Yes,5000 +,Yes,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Does not apply,Strongly disagree,Does not apply,Agree,Agree,Agree,Sometimes,Sleep,Rarely,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Neither agree nor disagree,Usually,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Sometimes,Sometimes,High Stress,Headache,NA,NA,Loss of sleep,Feelings of anxiety,Stomache Issues,NA,Lack of focus,NA,NA,Rarely,3-4 Hours,Neither agree nor disagree,0-1 Hour,0-1 Hour,Neither agree nor disagree,No - the amount of time I spend on my smartphone is appropriate,Never,Neither agree nor disagree,0,Male,"High school degree or equivalent (e.g., GED)",1985,5,6,30-44,Male,"$25,000-$49,999",West North Central,iOS Phone / Tablet,5,5,1,5,3,1,1,4,4,4,3,2,3,3,4,4,3,3,3,3,3,1,3,0,3,3,0,37500
10789923557,237187931,06/11/2019 07:23:07 AM,06/11/2019 07:31:36 AM,e05ac4d9dff91fe9590f0b00ec,Yes,100 people or less,Yes,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Work Life,Strongly agree,Actively looking,Disagree,Strongly agree,Strongly agree,Sometimes,Sleep,Never,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Always,Strongly disagree,Strongly agree,Disagree,Neither agree nor disagree,Rarely,Rarely,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,2-3 Hours,Strongly disagree,1-2 Hours,5 + Hours,Disagree,No - the amount of time I spend on my smartphone is appropriate,Always,Strongly disagree,0,Male,"High school degree or equivalent (e.g., GED)",1977,22,6,30-44,Male,"$150,000-$174,999",East North Central,iOS Phone / Tablet,3,3,5,3,2,4,5,2,5,5,3,1,3,1,5,2,3,2,2,1,2,4,1,1,2,2,5,162500
10789917875,237187931,06/11/2019 07:20:50 AM,06/11/2019 07:25:06 AM,0dccbf3bcc0ba097c21e2c67e8,Yes,100-500,Yes,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Does not apply,Strongly agree,Actively looking,Strongly disagree,Strongly agree,Neither agree nor disagree,Sometimes,Lack of body movement while at work,Rarely,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Agree,Usually,Disagree,Agree,Disagree,Neither agree nor disagree,Rarely,Sometimes,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know / Not sure,Rarely,5+ Hours,Disagree,1-2 Hours,0-1 Hour,Disagree,No - the amount of time I spend on my smartphone is appropriate,Sometimes,Neither agree nor disagree,5-7,Choose not to identify,Graduate degree,1985,4,6,30-44,Male,"$25,000-$49,999",West South Central,Windows Desktop / Laptop,1,1,3,3,1,2,5,1,5,3,3,2,4,2,4,2,3,2,3,2,2,3,3,1,2,5,0,37500
10789917687,237187931,06/11/2019 07:20:35 AM,06/11/2019 07:27:02 AM,966a3dc24aa2c9aa667e355948,Yes,5000 +,Yes,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,NA,Neither agree nor disagree,NA,Strongly agree,Strongly agree,Strongly agree,Rarely,Sleep,Never,NA,NA,NA,NA,Don't know / Doesn't apply,NA,Strongly disagree,Always,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Never,Rarely,Moderate Stress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,1-2 Hours,Neither agree nor disagree,0-1 Hour,3-4 Hours,Strongly disagree,No - the amount of time I spend on my smartphone is appropriate,Sometimes,Strongly disagree,0,Male,Some college but no degree,1986,14,6,30-44,Male,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet,5,4,3,4,2,1,3,5,5,5,2,1,1,1,5,5,1,1,2,3,1,3,1,0,2,1,3,37500
