Gender,Org_satisfaction,Better_org,still_engaged,professional_path_sat,coworkers_happier,Depressed_while_at_work,searching_new_employment,personal_satisfaction,go_above,use_time_efficient,fatigued,lonely,difficult_to_concentrate,efficiency_compared_to_peers,positive_feedback,motivated,other_better_lives,depressive_tendencies,bad_sleep,social_media_makes_lonely,feel_constant_need_to_look_at_phone,is_phone_distracting,phone_better_life,phone_at_work_time,stress_level,mobile_per_day,consciously_no_phone,house_income_midpoint
Male,5,4,4,4,4,4,4,4,4,4,1,3,2,1,2,4,4,2,2,4,NA,3,4,2,NA,1,2,62500
Male,3,4,4,3,3,3,4,3,4,5,3,4,1,2,5,5,4,4,4,3,1,1,4,0,3,1,5,62500
Male,4,5,5,4,4,5,5,4,4,4,3,3,5,4,4,4,2,4,3,1,2,3,4,2,NA,2,3,112500
Male,5,4,3,4,2,1,1,3,5,5,2,1,1,1,5,5,2,1,2,3,1,1,4,0,1,0,0,NA
Male,5,5,3,4,3,2,4,3,3,3,2,1,4,2,5,5,3,1,1,3,2,3,3,1,1,1,5,200000
Male,5,5,1,5,3,1,1,4,4,4,3,2,3,3,4,4,3,3,3,3,3,1,3,0,3,3,0,37500
Male,3,3,5,3,2,4,5,2,5,5,3,1,3,1,5,2,3,2,2,1,2,4,1,1,2,2,5,162500
Male,1,1,3,3,1,2,5,1,5,3,3,2,4,2,4,2,3,2,3,2,2,3,3,1,2,5,0,37500
Male,5,4,3,4,2,1,3,5,5,5,2,1,1,1,5,5,1,1,2,3,1,3,1,0,2,1,3,37500
Male,4,5,4,4,3,1,4,4,3,4,3,1,2,3,3,3,3,2,NA,2,2,NA,2,1,1,2,2,62500
Male,5,5,1,5,2,2,2,4,2,3,2,3,3,2,4,4,2,3,2,4,3,3,2,1,3,1,5,112500
Male,5,5,2,5,3,3,1,4,4,4,3,3,3,3,4,5,4,4,3,4,4,3,4,0,3,3,2,37500
Male,4,4,4,4,4,2,5,2,4,4,3,1,3,2,4,2,3,3,2,3,4,3,3,2,2,3,2,87500
Male,4,5,3,4,2,2,2,4,4,4,2,1,2,2,4,4,4,1,1,2,4,3,3,0,2,1,2,37500
Male,4,4,3,5,2,2,2,3,5,4,3,1,2,1,3,4,1,1,3,2,4,3,4,0,3,3,5,162500
Male,4,5,2,4,1,1,2,4,4,3,2,3,4,2,4,4,3,3,3,1,4,3,3,0,2,1,3,87500
Male,3,4,5,2,3,4,4,2,4,5,3,4,2,3,3,2,5,4,4,2,2,1,2,1,NA,3,3,37500
Male,4,3,4,4,2,3,3,3,4,3,3,3,2,2,5,4,NA,3,2,3,1,1,3,0,2,1,5,112500
Male,4,4,3,4,2,3,2,3,2,4,3,2,2,2,2,4,2,3,2,3,2,1,2,0,2,0,5,NA
